bandscore,listening_feedback,reading_feedback,writing_feedback
Not taken,no feedback available,no feedback available,no feedback available
Below band 4,no feedback available,no feedback available,no feedback available
Around band 4,can understand sentences and frequently used expressions when listening to recordings related to immediately relevant areas.,can understand sentences and frequently used expressions whne reading texts related to immediately relevant areas.,"can link ideas together in a simple way using basic sentence patterns and sing simple structures correctly, but you make some systematic basic errors."
4-5,"can understand the main points of clear standard input when listening to recordings on familiar matters encountered at school, work, leisure, etc.","can understand the main points of clear standard input when reading texts on familiar matters encountered at school, work, leisure, etc.",can produce simple connected texts on familiar topics and can express yourself reasonably accurately linking ideas into connected linear sequences.
5,"can understand most of the main ideas in a complex listening text on both concrete and some abstract topics, including technical discussions in your own field of specialization.","can understand most of the main ideas in a complex reading text on both concrete and some abstract topics, including technical discussions in your own field of specialization.",can produce a clear detailed text on a wide range of subjects and can explain a viewpoint giving the advantages and disadvantages of various options. You can also use a limited number of cohesive devices to give your written contributions coherence.
5-6,"can understand most of the main ideas in a complex listening text on both concrete and some abstract topics, including technical discussions in your own field of specialization.","can understand most of the main ideas in a complex reading text on both concrete and some abstract topics, including technical discussions in your own field of specialization.",can produce a clear detailed text on a wide range of subjects and can explain a viewpoint giving the advantages and disadvantages of various options. You can also use a limited number of cohesive devices to give your written contributions coherence.
6," can understand the main ideas of a complex listening text on both concrete and abstract topics, including technical discussions in your own field of specialization."," can understand the main ideas of a complex reading text on both concrete and abstract topics, including technical discussions in your own field of specialization.",can produce a clear detailed text on a wide range of subjects and can explain a viewpoint giving the advantages and disadvantages of various options. You can also use a limited number of cohesive devices to give your spoken and written contributions coherence.
6-7," can understand the main ideas of a complex listening text on both concrete and abstract topics, including technical discussions in your own field of specialization."," can understand the main ideas of a complex reading text on both concrete and abstract topics, including technical discussions in your own field of specialization.",can produce a clear detailed text on a wide range of subjects and can explain a viewpoint giving the advantages and disadvantages of various options. You can also use a limited number of cohesive devices to give your spoken and written contributions coherence.
7,"can understand a wide range of demanding, longer listening texts, and recognize implicit meaning.","can understand a wide range of demanding, longer reading texts, and recognize implicit meaning.","can use language flexibly, for social, academic and professional purposes and can produce clear, well-structured, detailed texts, on complex subjects, showing controlled use of organizational patterns and cohesive devices consistently maintaining a high level of grammatical accuracy."
7-8,"can understand a wide range of demanding, longer listening texts, and recognize implicit meaning.","can understand a wide range of demanding, longer reading texts, and recognize implicit meaning.","can use language flexibly, for social, academic and professional purposes and can produce clear, well-structured, detailed texts, on complex subjects, showing controlled use of organizational patterns and cohesive devices consistently maintaining a high level of grammatical accuracy."
8,can understand with ease almost everything heard.,can understand with ease almost everything read.,"can express yourself fluently and precisely, differentiating finer shades of meaning, even in more complex situations using a wide variety of organizational patterns and cohesive devices. You also maintain constant grammatical control."
8-9,can understand with ease almost everything heard. ,can understand with ease almost everything read. ,"can express yourself fluently and precisely, differentiating finer shades of meaning, even in more complex situations using a wide variety of organizational patterns and cohesive devices. You also maintain constant grammatical control."
